# sma[pix]	I	I_err
 69.50 -9.11082683e-04  3.46768002e-04
 70.00 -7.49439382e-04  2.70190548e-04
 70.50 -3.11551040e-04  4.12829632e-04
 71.00  2.36534511e-04  5.06849610e-04
 71.50  6.28092117e-04  4.33802629e-04
 72.00  5.72306912e-04  3.21419749e-04
 72.50  2.37878135e-04  2.86019988e-04
 73.00 -1.34246466e-04  2.40340665e-04
 73.50 -3.33010473e-04  2.26813191e-04
 74.00 -3.14157011e-04  2.35197863e-04
 74.50 -2.27742802e-04  2.62717520e-04
 75.00 -2.64524559e-04  3.05505316e-04
 75.50 -4.35334990e-04  4.18016775e-04
 76.00 -6.03700385e-04  5.56512460e-04
 76.50 -6.72769628e-04  4.39134602e-04
 77.00 -5.44458771e-04  4.47383681e-04
 77.50 -2.94363810e-04  5.90591407e-04
 78.00 -9.06333184e-05  5.73965556e-04
 78.50 -3.14547771e-06  5.50646946e-04
 79.00 -2.00046742e-05  4.03843696e-04
 79.50 -6.45121107e-05  3.02029959e-04
 80.00 -8.29447288e-05  2.62954409e-04
 80.50 -3.68766731e-06  2.82248124e-04
 81.00  7.78189660e-05  3.20901995e-04
 81.50  1.31528995e-04  4.14743487e-04
 82.00  1.22028907e-04  4.90666311e-04
 82.50 -7.13692967e-06  4.07328549e-04
 83.00 -1.07353660e-04  4.24185810e-04
 83.50 -2.27900437e-04  3.29072029e-04
 84.00 -2.72672268e-04  2.47779760e-04
 84.50 -2.60417722e-04  2.41915475e-04
 85.00 -2.33516095e-04  4.22674535e-04
 85.50 -1.56256857e-04  5.32759334e-04
 86.00 -2.11939459e-05  5.15188391e-04
 86.50  9.84251730e-05  3.91908387e-04
 87.00  2.82137618e-04  3.14306639e-04
 87.50  4.04294553e-04  3.03225426e-04
 88.00  4.52924727e-04  3.80994977e-04
 88.50  3.40934598e-04  4.44908076e-04
 89.00  1.42656867e-04  4.21547789e-04
 89.50 -9.39642333e-05  4.66392751e-04
 90.00 -2.35331770e-04  3.69828810e-04
 90.50 -3.05866486e-04  5.25074318e-04
 91.00 -3.74954476e-04  5.83439133e-04
 91.50 -4.41757315e-04  5.34801652e-04
 92.00 -5.54602124e-04  4.41816416e-04
 92.50 -6.82217195e-04  3.28104696e-04
 93.00 -6.56973018e-04  2.37662776e-04
 93.50 -3.84086362e-04  2.93669270e-04
 94.00  1.97017608e-04  2.50491419e-04
 94.50  9.69804829e-04  2.37343261e-04
 95.00  1.64135478e-03  2.09802311e-04
 95.50  1.87397407e-03  1.66283096e-04
 96.00  1.54178479e-03  1.22595716e-04
 96.50  7.95174391e-04  1.09067584e-04
 97.00 -1.86735164e-05  1.20400667e-04
