# sma[pix]	I	I_err
 69.50  1.35713786e-02  1.01020415e-03
 70.00  1.37997842e-02  8.64713293e-04
 70.50  1.32554733e-02  6.89586632e-04
 71.00  1.22370328e-02  6.96297425e-04
 71.50  1.19536933e-02  9.00816799e-04
 72.00  1.19423672e-02  8.53629621e-04
 72.50  1.16475245e-02  7.04964763e-04
 73.00  1.16479982e-02  7.76327261e-04
 73.50  1.09794848e-02  7.12761207e-04
 74.00  9.92651883e-03  8.82165580e-04
 74.50  9.87162791e-03  8.22285007e-04
 75.00  9.72615572e-03  8.58365588e-04
 75.50  8.94806936e-03  8.14539426e-04
 76.00  8.07997257e-03  1.10806082e-03
 76.50  7.26847633e-03  1.04352176e-03
 77.00  6.19839253e-03  1.13239751e-03
 77.50  4.89527993e-03  1.04195627e-03
 78.00  4.75339885e-03  6.98341349e-04
 78.50  5.29924975e-03  7.40127325e-04
 79.00  5.49517072e-03  6.01349908e-04
 79.50  5.41182216e-03  5.47841107e-04
 80.00  4.79444819e-03  5.61854952e-04
 80.50  3.80608260e-03  6.49685969e-04
 81.00  3.58634755e-03  3.88261281e-04
 81.50  4.13394117e-03  3.59959450e-04
 82.00  3.86144064e-03  5.80925674e-04
 82.50  1.86402421e-03  5.73703576e-04
 83.00 -1.64718492e-04  5.92335524e-04
 83.50 -1.29554710e-04  6.70867241e-04
 84.00  8.11468000e-04  6.07591201e-04
 84.50  1.55549165e-03  3.67026577e-04
 85.00  1.84167405e-03  2.19302121e-04
 85.50  1.26845002e-03  3.50600775e-04
 86.00  6.33279708e-04  3.34014303e-04
 86.50  5.53142613e-04  4.63262997e-04
 87.00  5.60427978e-04  5.09189587e-04
 87.50  5.21008534e-04  8.19271179e-04
 88.00  5.75841945e-04  6.40402770e-04
 88.50  3.68193805e-04  4.13996211e-04
 89.00  8.24937577e-05  4.24601576e-04
 89.50  2.17900979e-04  4.56734897e-04
 90.00  3.32781120e-04  6.76860961e-04
 90.50  6.40595356e-04  7.90641794e-04
 91.00  6.89528608e-04  8.17422554e-04
 91.50 -2.06919049e-04  7.10657225e-04
 92.00 -4.98264840e-04  6.31093769e-04
 92.50  3.75373159e-04  7.02802327e-04
 93.00  1.10735969e-03  7.82393514e-04
 93.50  8.70586114e-04  6.93826733e-04
 94.00  2.96334441e-04  7.01895992e-04
 94.50 -5.58786014e-04  8.03125924e-04
 95.00 -1.21779092e-03  7.35828812e-04
 95.50 -1.67266602e-03  6.02152282e-04
 96.00 -2.23279012e-03  9.20384855e-04
 96.50 -1.60269493e-03  9.80583259e-04
 97.00 -4.30629724e-04  8.73646556e-04
 97.50  3.76956200e-04  6.06217822e-04
 98.00  4.72797818e-04  2.43882667e-04
 98.50 -3.05616495e-04  3.12682701e-04
 99.00 -6.76801486e-04  5.96331115e-04
 99.50 -1.97124066e-04  5.84000754e-04
100.00  1.54412875e-04  5.37095425e-04
100.50  4.27339219e-05  5.68938067e-04
101.00 -1.35682916e-04  7.31659407e-04
101.50 -4.83419962e-05  4.82040768e-04
102.00 -3.92984614e-04  5.28450329e-04
102.50 -4.33673501e-04  6.33243851e-04
103.00  1.42453127e-04  6.88736080e-04
103.50 -2.30165421e-04  3.43940382e-04
104.00 -3.78292149e-04  3.87556503e-04
104.50  3.33719850e-04  5.63712182e-04
